Date,Match,price,change,abs_price,Number
1993-04-21,0,0.448661,0.036082450419826495,3.6082450419826495,1
1993-07-19,0,0.25,-0.2167821651900399,21.67821651900399,2
1993-10-18,0,0.25,0.1789449857111869,17.89449857111869,3
1994-01-24,0,0.296875,0.11297100933114891,11.29710093311489,4
1994-04-22,0,0.279018,0.10619588315519035,10.619588315519035,5
1994-07-25,0,0.277902,0.11160799999999993,11.160799999999993,6
1994-10-18,0,0.362723,-0.012159983441724642,1.2159983441724642,7
1995-01-20,0,0.419643,0.030137517613153753,3.0137517613153753,8
1995-04-21,0,0.332589,0.024053427428666563,2.4053427428666563,9
1995-07-21,0,0.383929,-0.054943999999999986,5.494399999999999,10
1995-10-19,0,0.320313,-0.02047650064677109,2.047650064677109,11
1996-01-18,0,0.293527,-0.04882466930659701,4.882466930659701,12
1996-04-18,0,0.226563,-0.019322416860367064,1.9322416860367064,13
1996-07-18,0,0.191964,0.2740691577619965,27.406915776199646,14
1996-10-17,0,0.245536,0.08911224860942311,8.911224860942312,15
1997-01-16,0,0.152902,-0.04195541297509986,4.195541297509986,16
1997-04-17,0,0.162946,-0.01017488655760801,1.017488655760801,17
1997-07-17,0,0.151786,0.06666947764917519,6.666947764917519,18
1997-10-16,0,0.188616,-0.06887104019904522,6.8871040199045215,19
1998-01-15,0,0.171317,-0.016024628533028662,1.6024628533028662,20
1998-04-16,0,0.261161,0.08584982932315487,8.584982932315487,21
1998-07-16,0,0.33817,0.13271188314146087,13.271188314146087,22
1998-10-15,0,0.323661,-0.06451491696099809,6.45149169609981,23
1999-01-14,0,0.40625,-0.013549280042736034,1.3549280042736034,24
1999-04-15,0,0.315848,0.021659248524997565,2.1659248524997565,25
1999-07-15,0,0.498884,0.04074450352871484,4.074450352871484,26
1999-10-14,0,0.618304,0.023084190861963005,2.3084190861963005,27
2000-01-20,0,1.03125,0.11124520884944511,11.124520884944511,28
2000-04-20,0,1.104353,-0.02512329925592327,2.512329925592327,29
2000-07-19,0,0.985491,-0.053590961254975866,5.359096125497587,30
2000-10-19,0,0.342076,-0.048136347826087,4.8136347826087,31
2001-04-19,0,0.45625,0.25244999807843294,25.244999807843293,32
2002-01-17,0,0.392143,0.011981935483871053,1.1981935483871053,33
2002-07-17,0,0.288036,-0.11519463285166609,11.519463285166609,34
2002-10-17,0,0.25375,-0.0626639183788058,6.2663918378805805,35
2003-01-16,0,0.25375,-0.027379040449532988,2.7379040449532988,36
2003-04-17,0,0.235714,-0.014190299740283518,1.4190299740283518,37
2003-07-17,0,0.360536,0.02957630240534126,2.957630240534126,38
2003-10-16,0,0.425,-0.03055021407732328,3.055021407732328,39
2004-01-15,0,0.409107,-0.05016553908161791,5.016553908161791,40
2004-04-15,0,0.514643,0.07018193236333237,7.018193236333237,41
2004-07-15,0,0.583214,0.11772642424288883,11.772642424288883,42
2004-10-14,0,0.77125,0.12797074954296161,12.79707495429616,43
2005-01-13,0,1.31625,0.14172876601347784,14.172876601347784,44
2005-04-14,0,1.386071,-0.09024850171078336,9.024850171078336,45
2005-07-14,0,1.456786,0.06668453277919073,6.668453277919073,46
2005-10-12,0,1.7375,-0.034147540008527266,3.4147540008527266,47
2006-01-19,0,2.901786,-0.04084509695880523,4.084509695880523,48
2006-04-20,0,2.4825,0.0496828752642704,4.96828752642704,49
2006-07-20,0,2.177143,0.15236285030429486,15.236285030429485,50
2006-10-19,0,2.830714,0.06689999374343714,6.689999374343714,51
2007-01-18,0,3.289286,-0.05149318440754613,5.149318440754613,52
2007-04-26,0,3.627857,0.08944654654654659,8.94465465465466,53
2007-07-26,0,5.211071,0.08169610793980266,8.169610793980265,54
2007-10-23,0,6.734286,0.10644287479571357,10.644287479571357,55
2008-01-23,0,4.863929,-0.15598651849247702,15.598651849247702,56
2008-04-24,0,5.905,0.032084816572922614,3.2084816572922614,57
2008-07-22,0,5.321429,-0.09778977161561109,9.778977161561109,58
2008-10-22,0,3.4775,-0.010869484832952803,1.0869484832952803,59
2009-01-22,0,3.144286,0.1258313619351079,12.583136193510791,60
2009-04-23,0,4.522143,0.039914721410780674,3.9914721410780674,61
2009-07-22,0,5.635357,0.03191425271709525,3.191425271709525,62
2009-10-20,0,7.164286,0.06673768040867922,6.673768040867922,63
2010-01-26,0,7.355357,0.041466477876106245,4.1466477876106245,64
2010-04-21,0,9.242857,0.04747635662072991,4.747635662072991,65
2010-07-21,0,9.4675,0.07944461534146474,7.944461534146474,66
2010-10-19,0,10.835714,-0.036029739747848843,3.6029739747848843,67
2011-01-19,0,12.441071,-0.000373060155487992,0.0373060155487992,68
2011-04-21,0,12.678571,0.05073099920448709,5.073099920448709,69
2011-07-20,0,14.147143,0.05971108614232201,5.971108614232201,70
2011-10-19,0,14.333929,-0.04438198962468654,4.438198962468654,71
2012-01-25,0,16.23,0.06324137420049736,6.324137420049736,72
2012-04-25,0,21.987143,0.07685855948832243,7.685855948832243,73
2012-07-25,0,20.51643,-0.04863944519907548,4.863944519907548,74
2012-10-26,0,21.765356,-0.011996835899557468,1.1996835899557468,75
2013-01-24,0,16.428572,-0.08869382887255582,8.869382887255583,76
2013-04-24,0,14.055,-0.012867765577901813,1.2867765577901813,77
2013-07-24,0,15.676071,0.029602852662174106,2.9602852662174106,78
2013-10-29,0,19.1525,0.01960223561332053,1.9602235613320529,79
